participant_id	species	sex
sub-1001372857	Homo sapiens	M
sub-1005024327	Homo sapiens	F
sub-1026212250	Homo sapiens	M
sub-1029212302	Homo sapiens	M
sub-1032184063	Homo sapiens	M
sub-1036289507	Homo sapiens	M
sub-1048208693	Homo sapiens	M
sub-1052597362	Homo sapiens	F
sub-1056763709	Homo sapiens	M
sub-1058766119	Homo sapiens	F
sub-1064223281	Homo sapiens	M
sub-1067593183	Homo sapiens	M
sub-1068001195	Homo sapiens	M
sub-1078812471	Homo sapiens	M
sub-1084222307	Homo sapiens	F
sub-1102847412	Homo sapiens	F
sub-1122692698	Homo sapiens	M
sub-1129830310	Homo sapiens	F
sub-1154304730	Homo sapiens	M
sub-548298531	Homo sapiens	M
sub-567704703	Homo sapiens	F
sub-569800644	Homo sapiens	M
sub-571458187	Homo sapiens	M
sub-591270122	Homo sapiens	F
sub-595536280	Homo sapiens	F
sub-596832620	Homo sapiens	M
sub-601901227	Homo sapiens	F
sub-611526465	Homo sapiens	M
sub-636948822	Homo sapiens	F
sub-643488707	Homo sapiens	M
sub-648220984	Homo sapiens	M
sub-651940947	Homo sapiens	M
sub-653027578	Homo sapiens	F
sub-653718968	Homo sapiens	M
sub-665691251	Homo sapiens	M
sub-685740095	Homo sapiens	F
sub-695464588	Homo sapiens	M
sub-700619648	Homo sapiens	M
sub-720619787	Homo sapiens	F
sub-731978186	Homo sapiens	M
sub-758233315	Homo sapiens	M
sub-783453365	Homo sapiens	M
sub-793165711	Homo sapiens	M
sub-813352040	Homo sapiens	M
sub-819522395	Homo sapiens	M
sub-835477230	Homo sapiens	F
sub-837533189	Homo sapiens	F
sub-846404050	Homo sapiens	M
sub-849052252	Homo sapiens	F
sub-854418264	Homo sapiens	F
sub-861697826	Homo sapiens	M
sub-871554083	Homo sapiens	M
sub-879881396	Homo sapiens	M
sub-889628154	Homo sapiens	M
sub-902323111	Homo sapiens	M
sub-907501068	Homo sapiens	F
sub-925115441	Homo sapiens	F
sub-964127089	Homo sapiens	F
